##################################################
AudioFragment: 4 spam HITs out of 15 total HITs
##################################################
3KLL7H3EGDEBPXCY88G62H2BU93HV4	A2HQHBR7Z4AI56	One or more answers were left blank
3LEG2HW4UF0IEANQP88VXRTNHWXF2W	A2RYZ8Z3U7T0SE	One or more answers did not agree with Golden HIT answer
3LN3BXKGC08A4QHSEC3K3J9OMIRWGT	A1T2CG5MVZWBV5	One or more answers were left blank
37VE3DA4YUUWGJES3RP61584RHMHBX	A32BIDGWOVYA9T	Unique transcriptions were not provided for all five fragments

##################################################
AudioFull: 14 spam HITs out of 71 total HITs
##################################################
3I7KR83SNAQ4UG03BSE7NRT6VYNK9U	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3I7KR83SNAQ4UG03BSE7NRT6VYNK9U	A14X36W5M4A8O4	Task was submitted in a time shorter than the length of the video(s)
3TCFMTM8HE1ROVTII9TA8PPTGME21I	A3YP2RNFZ1PQP	Task was submitted in a time shorter than the length of the video(s)
3VGZ74AYTGT1QSBNXL3JRP2LU2ACG1	A3YP2RNFZ1PQP	Task was submitted in a time shorter than the length of the video(s)
3BJKPTD2QCP91ZMCZISLF3GWKXKTRW	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3MNJFORX8BHAD76D7RATVYWZ16OF5X	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3AC6MFV69KVSYHH89559NNF7IK8ZHL	A3YP2RNFZ1PQP	Task was submitted in a time shorter than the length of the video(s)
3IH9TRB0FBCVZG7K7CE2V5WA5IBI19	AGTM17BH0R98Y	Task was submitted in a time shorter than the length of the video(s)
3FW4EL5A3L1YDGBE1DTOD8ZY8SS22Z	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3FW4EL5A3L1YDGBE1DTOD8ZY8SS22Z	A3YP2RNFZ1PQP	Task was submitted in a time shorter than the length of the video(s)
3BFF0DJK8XPL2EMPE7SQ5DLS6Z3TSK	A2TDLLB8JTZGBN	Task was submitted in a time shorter than the length of the video(s)
36U4VBVNQOQO1C11ZNIVKZ2Y3BRRUL	A2TDLLB8JTZGBN	Task was submitted in a time shorter than the length of the video(s)
36U4VBVNQOQO1C11ZNIVKZ2Y3BRRUL	A7IH21LIOFH9	Task was submitted in a time shorter than the length of the video(s)
3HEADTGN2P5OERQ14DS0GL4HHI0RVA	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)

##################################################
AVFragment: 1 spam HITs out of 2 total HITs
##################################################
3VEI3XUCZRAB97T5I1J1ATFZVUZRPP	A32BIDGWOVYA9T	One or more answers were left blank

##################################################
AVFull: 14 spam HITs out of 57 total HITs
##################################################
3FO95NVK5CD8MZ9XAINV5YKAIE6RS5	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3OND0WXMHWSUNMQCDIRW2DEPUEZHEX	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3W0KKJIARRM4GBHT608TNVYVBS5K85	AJAU1KH2MY7YM	One or more transcriptions were empty or were suspiciously short
3XJOUITW8U49PY7CM33LAD6ROBITQV	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3ABAOCJ4R8H5C3HSD629OZBZU3MMQN	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
38XPGNCKHTDHDLO3T1WN8ST7P4H4V5	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3VP28W7DUNX8KLQ2EFH9K23U25VZFN	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3H1C3QRA01W36EFWRQDVRMH9HMVCEK	A2UHH88Z8XNXMN	One or more transcriptions were empty or were suspiciously short
3H1C3QRA01W36EFWRQDVRMH9HMVCEK	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
3AC6MFV69KVSYHH89559NNF7IK9HZ4	A1ZBMULAPZZ3FG	Task was submitted in a time shorter than the length of the video(s)
